timesteps,mean_reward,std_reward
8.000000000000000000e+03,8.574410399999998766e-02,5.687965547930167176e-01
1.600000000000000000e+04,2.235980499999999926e-01,1.906878183091082757e-01
2.400000000000000000e+04,2.079722519999999963e-01,1.882732304453622885e-01
3.200000000000000000e+04,2.063448900000000308e-01,1.135342425081433265e-01
4.000000000000000000e+04,2.116975160000000022e-01,1.651679410141621285e-01
4.800000000000000000e+04,2.249841819999999770e-01,2.478081676046794135e-01
5.600000000000000000e+04,2.211936720000000078e-01,1.779965891842773817e-01
6.400000000000000000e+04,2.194214519999999891e-01,1.986361308662039360e-01
7.200000000000000000e+04,2.157360080000000069e-01,2.111287556410730570e-01
8.000000000000000000e+04,2.091134979999999810e-01,1.269810083799856604e-01
