#{"t_start": 1733757175.5064628, "env_id": "None"}
r,l,t
0.967434,99,0.067182
1.096716,99,4.825385
0.810389,99,10.31502
0.783514,99,16.068286
2.173562,99,21.25667
0.43335,99,26.44733
1.317729,99,31.633275
1.645681,99,36.984165
0.539618,99,42.382275
1.598799,99,47.773073
1.108965,99,52.687372
1.978525,99,57.546804
0.747328,99,63.875218
1.803247,99,69.578103
0.3794,99,75.370729
1.251695,99,80.454342
0.458277,99,86.127448
0.657363,99,92.611333
1.153938,99,104.58857
0.733792,99,117.178054
0.822847,99,125.512992
0.884172,99,132.976295
0.438203,99,141.714942
0.415265,99,149.305687
0.439075,99,155.627377
0.534362,99,161.393698
2.724668,99,167.035214
3.1888,99,172.708527
1.565037,99,178.665709
0.54328,99,185.870081
0.934236,99,194.323369
